region_key,bookmaker_key,bookmaker_name,notes
us,betonlineag,BetOnline.ag,
us,betmgm,BetMGM,
us,betrivers,BetRivers,
us,betus,BetUS,
us,bovada,Bovada,
us,williamhill_us,Caesars,Only available on paid subscriptions
us,draftkings,DraftKings,
us,fanatics,Fanatics,Only available on paid subscriptions
us,fanduel,FanDuel,
us,lowvig,LowVig.ag,
us,mybookieag,MyBookie.ag,
us2,ballybet,Bally Bet,
us2,betanysports,BetAnything,Formerly BetAnySports
us2,betparx,betPARX,
us2,espnbet,ESPN BET,
us2,fliff,Fliff,
us2,hardrockbet,Hard Rock Bet,
us2,rebet,ReBet,Only available on paid subscriptions
us_dfs,pick6,DraftKings Pick6,Selections with non-default multipliers (not x1) are included in _alternate markets
us_dfs,prizepicks,PrizePicks,Non-default multipliers included in _alternate markets
us_dfs,underdog,Underdog Fantasy,Non-default multipliers included in _alternate markets
us_ex,betopenly,BetOpenly,Use includeBetLimits=true to find open bets
us_ex,novig,Novig,
us_ex,prophetx,ProphetX,
uk,sport888,888sport,
uk,betfair_ex_uk,Betfair Exchange,
uk,betfair_sb_uk,Betfair Sportsbook,
uk,betvictor,Bet Victor,
uk,betway,Betway,
uk,boylesports,BoyleSports,
uk,casumo,Casumo,
uk,coral,Coral,
uk,grosvenor,Grosvenor,
uk,ladbrokes_uk,Ladbrokes,
uk,leovegas,LeoVegas,
uk,livescorebet,LiveScore Bet,
uk,matchbook,Matchbook,
uk,paddypower,Paddy Power,
uk,skybet,Sky Bet,
uk,smarkets,Smarkets,
uk,unibet_uk,Unibet,
uk,virginbet,Virgin Bet,
uk,williamhill,William Hill (UK),
eu,onexbet,1xBet,
eu,sport888,888sport,
eu,betclic_fr,Betclic (FR),
eu,betanysports,BetAnySports,
eu,betfair_ex_eu,Betfair Exchange,
eu,betonlineag,BetOnline.ag,
eu,betsson,Betsson,
eu,betvictor,Bet Victor,
eu,coolbet,Coolbet,
eu,everygame,Everygame,
eu,gtbets,GTbets,
eu,leovegas_se,LeoVegas (SE),
eu,marathonbet,Marathon Bet,
eu,matchbook,Matchbook,
eu,mybookieag,MyBookie.ag,
eu,nordicbet,NordicBet,
eu,parionssport_fr,Parions Sport (FR),
eu,pinnacle,Pinnacle,Odds are from public website; may incur a delay
eu,suprabets,Suprabets,
eu,tipico_de,Tipico (DE),
eu,unibet_fr,Unibet (FR),
eu,unibet_it,Unibet (IT),
eu,unibet_nl,Unibet (NL),
eu,unibet_se,Unibet (SE),
eu,williamhill,William Hill,
eu,winamax_de,Winamax (DE),
eu,winamax_fr,Winamax (FR),
au,betfair_ex_au,Betfair Exchange (AU),
au,betr_au,Betr,
au,betright,Bet Right,
au,bet365_au,Bet365 AU,"Only available on paid subscriptions. Coverage currently limited to h2h, spreads and totals for AFL and NRL"
au,boombet,BoomBet,
au,dabble_au,Dabble AU,Only available on paid subscriptions
au,ladbrokes_au,Ladbrokes,
au,neds,Neds,
au,playup,PlayUp,
au,pointsbetau,PointsBet (AU),
au,sportsbet,SportsBet,
au,tab,TAB,
au,tabtouch,TABtouch,
au,unibet,Unibet,
